Time,Room,Temp_C,CO2_ppm,Occupancy,Power_kW,Temp_C_roll3,CO2_ppm_roll3,Power_kW_roll3,occupancy_density,energy_per_student,comfort_flag
10:00,C1.3.101,21.5,620.0,18,3.2,,,,0.45,0.17777777777777778,True
10:01,C1.3.101,21.7,650.0,20,3.4,,,,0.5,0.16999999999999998,True
10:02,C1.3.101,21.9,690.0,22,3.5,21.7,653.3333333333334,3.3666666666666667,0.55,0.1590909090909091,True
10:03,C1.3.101,22.1,720.0,24,3.8,21.900000000000002,686.6666666666666,3.5666666666666664,0.6,0.15833333333333333,True
10:04,C1.3.101,22.3,750.0,25,4.0,22.099999999999998,720.0,3.766666666666666,0.625,0.16,True
10:05,C1.3.101,22.5,780.0,27,4.2,22.3,750.0,4.0,0.675,0.15555555555555556,True
10:06,C1.3.101,22.6,810.0,29,4.4,22.46666666666667,780.0,4.2,0.725,0.1517241379310345,True
10:07,C1.3.101,22.7,830.0,29,4.6,22.599999999999998,806.6666666666666,4.3999999999999995,0.725,0.1586206896551724,True
10:08,C1.3.101,22.9,850.0,31,4.8,22.733333333333334,830.0,4.6000000000000005,0.775,0.15483870967741936,True
10:09,C1.3.101,23.1,900.0,33,5.1,22.900000000000002,860.0,4.833333333333333,0.825,0.15454545454545454,True
10:10,C1.3.101,23.2,920.0,35,5.4,23.066666666666663,890.0,5.1,0.875,0.1542857142857143,True
10:11,C1.3.101,23.3,950.0,37,5.7,23.200000000000003,923.3333333333334,5.3999999999999995,0.925,0.15405405405405406,True
